id,sku_id,description,primary_image
100187e3-9203-4bea-8753-91172429f571,00585-01,8X7X3 RSN TRI GEO ELEPHANT 2/A BLK/WHT,https://fileserver-g-p.sourcerer.tech/files/f03a06ce-4ce4-4b1a-8b41-69d951f696fd
0f8b63e1-c7df-4d7f-97e2-3e2146842f5b,671,"PAPER MACHE, 10"" EARED VASE, IVORY",
74a475fc-96a2-4e54-a739-466939b9bb4c,10483,"GARDEN STOOL, CERAMIC, PEARL SNAKE",https://fileserver-g-p.sourcerer.tech/files/7b57e93c-de00-4c50-8454-4ca3a8318ee0
f9b3eee8-8232-4709-a63c-4b8fe6a434ef,10483D,"CERAMIC GARDEN STOOL, PEARL SNAKE",https://fileserver-g-p.sourcerer.tech/files/c23e79bb-aa99-4c4b-9320-f8f4263d9d5e
e6294cfe-22c5-4827-b7b2-00d62302631b,10484,COVERED JAR CERAMIC - PEARL SNAKE,https://fileserver-g-p.sourcerer.tech/files/21154587-670c-40df-85d3-927263555cf6
d42216cb-7b46-43d8-b6a6-467c1e4a4a9c,10484D,"COVERED JAR CERAMIC, PEARL SNAKE",https://fileserver-g-p.sourcerer.tech/files/4739e94d-5f34-4fd7-a136-83312de4e91f
76a234b7-345c-4c40-8112-d77351525d18,10485,CERAMIC VASE PEARL SNAKE,https://fileserver-g-p.sourcerer.tech/files/adb9449f-0d5b-4c7a-959b-a46b5f25bbf2
e234da88-c039-4655-ae29-644ebfea89af,10485D,"CERAMIC VASE, PEARL SNAKE",https://fileserver-g-p.sourcerer.tech/files/f80fe20e-ac69-4829-90f9-a2acd23db9a7
f2a0b125-6312-4d92-99b8-7e04b2aa6a5f,10487,"CERAMIC SKULL, SILVER",https://fileserver-g-p.sourcerer.tech/files/908ceaf0-ddb3-4657-892e-0d07d14574a6
9b6b54bd-4085-4847-82fc-aaf8ad28facd,10488,"CERAMIC SHELL, PEARL",https://fileserver-g-p.sourcerer.tech/files/6335f345-c2d2-4ad2-a264-ad424fb8d6ed
3029079d-9a69-479e-af10-1b7d3e89247e,10489,GUNMETAL CERAMIC ELEPHANT,https://fileserver-g-p.sourcerer.tech/files/b5cec5a9-c299-4f81-8154-e803c1764fff
13c091bd-3e28-48fe-a165-f5aaeae6f561,10490,"CERAMIC FEATHERED BOX, BLUE",https://fileserver-g-p.sourcerer.tech/files/2f7e9699-b2b1-480b-9db7-e1de3496b597
11baaee1-ff3a-46b5-9620-b519423b5114,10491,"CERAMIC FEATHERED VASE, BLUE",https://fileserver-g-p.sourcerer.tech/files/4835f34d-2128-4a0f-abfb-c834d4d0ebd4
910305a1-ca3f-4d61-8f9d-3cd929b1afaa,10492,"CERAMIC FEATHERED VASE, BLUE",https://fileserver-g-p.sourcerer.tech/files/3c1a990a-bf01-414b-a285-ced4b2a01533
24b14139-d422-49ee-b7f6-0481206b5b1a,10493,"CERAMIC COVERED JAR, GREEN MARBLE",https://fileserver-g-p.sourcerer.tech/files/b6ba8a92-8dbe-400a-90e1-52fc9ec60a65
f50974f1-a43a-4f6a-a1f1-5c06e4bbb3b2,10493-01,"CERAMIC COVERED JAR, GRAY MARBLE",https://fileserver-g-p.sourcerer.tech/files/108faaea-3e5c-4707-86cc-a705a596835a
dcca8e86-20b7-4c5d-aea7-198f833f96c7,10494,"CERAMIC COVERED JAR, GREEN MARBLE",https://fileserver-g-p.sourcerer.tech/files/9356189d-b8a7-4b4a-86f6-135afeb4b481
